Index,Difficulty Level,Words,WOC_2021,SOW_2021,WOC_2020,SOW_2020,WOC_2022,SOW_2022
1009,TWO,herbaceous,1,0,1,0,1,0
3117,THREE,violaceous,1,0,1,0,1,0
3374,THREE,sebaceous,1,0,1,0,1,0
3803,THREE,arenaceous,1,0,1,0,1,0
4878,THREE,saponaceous,0,0,1,0,0,0
158,ONE,ferocious,1,0,1,0,1,0
1553,TWO,perspicacious,1,0,1,0,1,0
2035,TWO,judicious,1,0,1,0,1,0
2060,TWO,minacious,1,0,1,0,1,0
2376,TWO,pugnacious,1,0,1,0,1,0
2403,TWO,mendacious,1,0,1,0,1,0
2445,TWO,atrocious,1,0,1,0,1,0
2451,TWO,vivacious,1,0,1,0,1,0
2522,TWO,audacious,1,0,1,0,1,0
2599,TWO,loquacious,1,0,1,0,1,0
2676,TWO,sagacious,1,0,1,0,0,0
2795,TWO,specious,1,0,1,0,0,0
158,ONE,ferocious,1,0,1,0,1,0
197,ONE,ludicrous,1,0,0,0,1,0
232,ONE,famous,1,0,1,0,1,0
253,ONE,miraculous,1,0,1,0,1,0
299,ONE,harmonious,1,0,1,0,1,0
410,ONE,venomous,1,0,1,0,1,0
509,ONE,furious,1,0,1,0,0,0
587,ONE,frivolous,1,0,1,0,1,0
714,ONE,various,1,0,0,0,1,0
724,ONE,marvelous,1,0,1,0,1,0
730,ONE,marvellous,1,0,1,0,1,0
734,ONE,outrageous,1,0,1,0,1,0
880,TWO,dangerous,1,1,0,0,0,0
883,TWO,previous,1,1,0,0,0,0
967,TWO,serious,1,1,0,0,0,0
1009,TWO,herbaceous,1,0,1,0,1,0
1019,TWO,salubrious,1,0,1,0,1,0
1024,TWO,unctuous,1,0,1,0,1,0
1073,TWO,valorous,1,0,1,0,1,0
1075,TWO,odiferous,1,0,1,0,1,0
1079,TWO,valourous,1,0,0,0,1,0
1108,TWO,vexatious,1,0,1,0,1,0
1126,TWO,nebulous,1,0,1,0,1,0
