,Words,Bee_Type,Wordnet_Type
0,punting,verb,noun
1,crowd,noun,noun
2,secret,adjective,noun
3,fumble,verb,noun
4,pond,noun,noun
5,health,noun,noun
6,pardon,noun,noun
7,shake,verb,noun
8,kiddo,noun,subject
9,proof,noun,noun
10,gorp,noun,subject
11,town,noun,noun
12,bingo,noun,noun
13,clever,adjective,noun
14,inside,adjective,noun
15,reply,verb,noun
16,frozen,adjective,verb
17,special,adjective,noun
18,film,verb,noun
19,results,plural,noun
20,soda,noun,noun
21,seal,noun,noun
22,twirled,verb,verb
23,disembark,verb,verb
24,admit,verb,verb
25,grown-ups,plural,subject
26,pieces,plural,noun
27,brass,noun,noun
28,onshore,adverb,adjective
29,stunts,plural,noun
30,deny,verb,verb
31,jolly,adjective,noun
32,powder,noun,noun
33,earthquake,noun,noun
34,walnut,noun,noun
35,sawdust,noun,noun
36,flustered,verb,verb
37,barber,noun,noun
38,chimes,verb,noun
39,cabin,noun,noun
40,faint,adjective,noun
41,manger,noun,noun
42,peppermint,noun,noun
43,broth,noun,noun
44,ash,noun,noun
45,flame,noun,noun
46,grits,plural,noun
47,cliff,noun,noun
48,hem,noun,noun
49,candles,plural,noun
50,brim,noun,noun
51,plot,verb,noun
52,desk,noun,noun
53,bobcat,noun,noun
54,polo,noun,noun
55,roller,noun,noun
56,stark,adjective,noun
57,drum,noun,noun
58,snarl,noun,noun
59,argue,verb,verb
60,loppers,plural,noun
61,petal,noun,noun
62,giant,adjective,noun
63,sniffle,verb,noun
64,mouth,noun,noun
65,filters,plural,noun
66,cone,noun,noun
67,never,adverb,adverb
68,silly,adjective,noun
69,Monday,noun,noun
70,grub,noun,noun
71,hook,noun,noun
72,number,noun,noun
73,cooking,verb,noun
74,amazed,adjective,verb
75,collect,verb,noun
76,local,adjective,noun
77,proper,adjective,adjective
78,basement,noun,noun
79,ripple,verb,noun
80,feats,plural,noun
81,plumbing,noun,noun
82,stubborn,adjective,adjective
83,adrift,adverb,noun
84,sweeten,verb,verb
85,neon,adjective,noun
86,beeswax,noun,noun
87,social,adjective,noun
88,behold,verb,verb
89,mix,verb,noun
90,drool,noun,noun
91,understand,verb,verb
92,brought,verb,verb
93,sound,noun,noun
94,benches,plural,noun
95,shrugged,verb,verb
96,still,adjective,noun
97,pranks,plural,noun
98,smiled,verb,verb
99,peach,noun,noun
100,pie,noun,noun
101,size,noun,noun
102,hall,noun,noun
103,jangled,verb,verb
104,chain,noun,noun
105,workhorse,noun,noun
106,antennas,plural,noun
107,honest,adjective,adjective
108,holler,verb,noun
109,billboard,noun,noun
110,chicken,noun,noun
111,puppets,plural,noun
112,waited,verb,verb
113,finish,verb,noun
114,cheer,verb,noun
115,twisty,adjective,noun
116,chips,plural,noun
117,scoop,noun,noun
118,rover,noun,noun
119,forgive,verb,verb
120,ribbon,noun,noun
121,shoo,interjection,verb
122,greedy,adjective,noun
123,beam,noun,noun
124,crew,noun,noun
125,crate,noun,noun
126,hotel,noun,noun
127,stray,noun,noun
128,gallop,noun,noun
129,dinosaur,noun,noun
130,ancient,adjective,noun
131,tapestry,noun,noun
132,delivery,noun,noun
133,attagirl,interjection,subject
134,salamanders,plural,noun
135,usual,adjective,adjective
136,challenge,noun,noun
137,cahoots,plural,noun
138,oozing,verb,noun
139,Mars,noun,noun
140,pelican,noun,noun
141,drastic,adjective,noun
142,yoga,noun,noun
143,burlap,noun,noun
144,blazer,noun,noun
145,trombone,noun,noun
146,trembling,verb,noun
147,calmed,verb,verb
148,police,noun,noun
149,certain,adjective,noun
150,barograph,noun,noun
151,charred,verb,verb
152,Pakistan,geographical,noun
153,pressure,noun,noun
154,surmised,verb,verb
155,teak,noun,noun
156,transit,noun,noun
157,cannonade,noun,noun
158,appetite,noun,noun
159,luggage,noun,noun
160,ramparts,plural,noun
161,vinyl,noun,noun
162,anemometers,plural,noun
163,dainty,adjective,noun
164,buckle,verb,noun
165,vividly,adverb,adverb
166,briny,adjective,noun
167,pavement,noun,noun
168,garnet,noun,noun
169,furrow,verb,noun
170,sprawl,verb,noun
171,museum,noun,noun
172,wren,noun,noun
173,legend,noun,noun
174,transistor,noun,noun
175,amplify,verb,verb
176,security,noun,noun
177,refrain,noun,noun
178,tactics,plural,noun
179,shepherd,noun,noun
180,Angus,noun,noun
181,mulish,adjective,noun
182,rivalry,noun,noun
183,siblings,plural,noun
184,chestnut,noun,noun
185,minivan,noun,noun
186,plaid,adjective,noun
187,tissue,noun,noun
188,scoundrel,noun,noun
189,amino,adjective,noun
190,menthol,noun,noun
191,Tabasco,trademark,noun
192,obvious,adjective,adjective
193,pulse,noun,noun
194,cottage,noun,noun
195,garland,noun,noun
196,gnaw,verb,verb
197,comfort,noun,noun
198,caroling,verb,noun
199,carolling,verb,verb
200,foolishness,noun,noun
201,constellation,noun,noun
202,sundering,verb,verb
203,juncture,noun,noun
204,exploits,verb,noun
205,rabble-rouser,noun,noun
206,profound,adjective,adjective
207,wreath,noun,noun
208,profile,noun,noun
209,untoward,adjective,noun
210,memorial,adjective,noun
211,industrial,adjective,adjective
212,barrier,noun,noun
213,gratingly,adverb,adverb
214,brayed,verb,verb
215,Harlem,geographical,noun
