"",,,2019-2020
"",,,
1.,punting,(verb),"to kick a ball when playing football, soccer or rugby before the ball hits the"
"",,,ground when dropped from the hands.
2.,crowd,(noun),a large number of people especially when condensed into a compact group
"",,,without order.
3.,secret,(adjective),"hidden, concealed."
4.,fumble,(verb),"to move awkwardly along, feeling one's way."
5.,pond,(noun),"a body of water that is smaller than a lake but larger than a pool, and that"
"",,,either occurs naturally or is confined through man-made means.
6.,health,(noun),the state in which the parts of an organism are performing their vital
"",,,functions normally and properly.
7.,pardon,(noun),forgiveness of a fault or offense.
8.,shake,(verb),to grip or join hands.
9.,kiddo,(noun),— used as a familiar way to greet someone.
10.,proof,(noun),anything serving as evidence to determine the judgment or finding of a
"",,,court of law.
11.,gorp,(noun),a snack that is usually comprised of high-energy foods such as nuts.
12.,town,(noun),a compressed settled area that in terms of population is larger than a
"",,,village but smaller than a city.
13.,bingo,(noun),a game played using a grid in which five covered numbers in a row means a
"",,,win.
14.,clever,(adjective),"having quick mental faculties, intelligence and resourcefulness in"
"",,,improvising accompanied by cunning wit or physical readiness and grace.
15.,inside,(adjective),being on an inner surface or side.
16.,reply,(verb),to answer in words or writing.
17.,frozen,(adjective),subject to severe cold : chilly.
18.,special,(adjective),"noteworthy, extraordinary, uncommon."
19.,film,(verb),to make a movie of.
20.,results,(plural noun),a comprehensive publication of the outcome of competitive events.
21.,soda,(noun),a beverage that consists of water which is highly charged with carbon
"",,,dioxide that is used to make soft drinks.
22.,seal,(noun),a marine aquatic carnivorous mammal that lives near cold seacoasts or on
"",,,"floating ice, bears its young on land, feeds on fish and other marine"
"",,,"animals, has webbed flippers adapted for swimming, and has been hunted"
"",,,"for its fur, hide and oil."
23.,twirled,(verb),spun quickly.
24.,disembark,(verb),to leave or go ashore from a ship.
25.,admit,(verb),to accept as the truth.
