,1,2,3
0,gel,antsy,cladding
1,day,OR *humour,rummages
2,scorch,bracelet,astrologers
3,hear,cruel,bipolar
4,sizzle,dolce,politesse
5,jotted,ancestors,arcane
6,train,hover,scallion
7,upset,mention,constricting
8,motor,inwardly,devout
9,sprint,schedule,torpid
10,hatchling,opus,chanteuse
11,swirled,convulsive,soleil
12,sport,billow,stealthily
13,father,spoken,inevitable
14,talking,mobility,shrike
15,awe,goblins,featherbrained
16,razz,pedestrian,arrondissement
17,amount,jasper,copse
18,rich,posh,warden
19,jam,record,engrossed
20,money,eddy,Vancouver
21,afar,splutter,immoderate
22,followed,snorkels,carabinieri
23,sighed,berth,scabbard
24,eel,Canada,copious
25,mugs,bridge,strife
26,couch,fanged,conjure
27,bowl,convince,arrayed
28,purple,lullaby,tamarisk
29,sheen,deference,courtiers
30,fans,toga,hurtle
31,fair,pinpoint,hindmost
32,nibble,bough,stalagmite
33,sweat,grateful,countenance
34,entire,FORTRAN,liana
35,worse,detergent,assuage
36,dome,bison,fester
37,dinner,wisdom,eviction
38,strands,listlessly,traitorous
39,cost,gesture,scepter
40,December,tangents,sibilant
41,sandwich,sheathed,adjutant
42,tall,strum,intoxicating
43,rats,slate,protruding
44,chapter,cautioned,condominium
45,sleek,formation,OR *sceptre
46,sudden,expression,au revoir
47,duo,mantle,inexorably
48,better,dangerous,outlandish
49,fed,drape,substantial
50,chess,flurry,impenetrable
51,bottle,previous,scourge
52,slither,violin,bitumen
53,gleaming,streamlet,disgorged
54,hit,pluck,porcupine
55,sir,countless,hooey
56,slimy,glisten,intercede
57,smart,imposing,irreverent
58,combed,binary,sacristy
59,repress,strait,Algiers
60,peanut,squid,lurching
61,boom,hideout,blight
62,squeak,accuse,defector
63,stared,complicated,apparition
64,patrol,semicolon,Salzkammergut
65,clothes,congratulate,primavera
66,cake,Frisbee,ineffective
67,wave,ruins,fronds
68,friend,drowsy,livery
69,plopped,unnoticed,dosages
70,epic,patent,frisson
71,either,fountain,souterrain
72,bite,teeter,trough
73,trunk,Mexico,authority
74,laptop,scoff,scuttlebutt
75,darted,agreement,superintendent
76,vital,incantations,Aachen
77,rely,curtly,knickerbockers
78,noon,chives,parchment
79,sleepy,glazed,minimize
80,movie,opposite,battalion
81,angry,dappled,exhalation
82,window,treble,oriole
83,chose,garish,litany
84,gummy,rallies,leach
85,full,scanner,OR *minimise
86,known,instrument,chalet
87,sidekick,rustle,discord
88,pocket,Baltic,Ganges
89,belle,gilded,unsullied
90,sting,pastry,wrath
91,huge,oncoming,**flamingos
92,suffer,blissfully,Lutheran
93,stuff,chef,clamorous
94,project,ventured,niagara
95,else,contingent,Carthusian
96,ray,coveralls,corporate
97,born,flimsy,OR flamingoes
98,double,coarse,roiling
99,least,crease,grimaces
100,goofy,deities,carrion
101,picture,swerve,**maharaja
102,dusk,ponytail,propane
103,jumping,launch,mechanics
104,watch,activists,psychiatrist
105,little,whales,inheritance
106,remember,feta,samosas
107,prepare,president,OR maharajah
108,mops,clatter,dissuade
109,damp,rubble,bankrupt
110,ahoy,commute,disconcerting
111,felt,mislead,plumage
112,travel,proverb,chalice
113,percent,depths,**Upanishads
114,thanks,snout,profusion
115,from,tourists,insurance
